date,Check Date Range,channel,platform,campaign_type,campaign_id,campaign_name,ab_variant,geo,device,audience,placement,adset_id,creative_id,impressions,clicks,sessions,conversions,revenue_gbp,spend_gbp,clicks_greater_impressions,conv_greater_sessions,revenue_without_conversion,negative_values,activity_wtihout_spend,revenue_without_spend,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/11/2025,OK,Paid Social,TikTok Ads,Brand Awareness,C25480,Awareness_Display_UK,B,IE,All,CRM,Stories,AS014,CR001,40325,690,690,1,25.63,390.57,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/11/2025,OK,Affiliate,Partner Network,Free Trial,C45462,Trial_Reengagement,A,IE,All,Prospecting,Stories,AS011,CR001,2213,57,56,2,58.98,56.88,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/11/2025,OK,Paid Search,Google Ads,Discount Offer,C06886,Discount_20pct,B,UK,,CRM,Search,AS015,CR007,86215,2205,1857,128,11803.96,3144.58,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/11/2025,OK,Email,ESP,Discount Offer,C56339,Discount_BundleDeal,A,IE,Mobile,Retargeting,Newsletter,AS006,CR009,1543,107,90,5,259.25,2.74,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/11/2025,OK,Paid Social,TikTok Ads,Free Trial,C32222,FreeTrial_NonBrand,B,UK,All,CRM,Feed,AS003,CR001,146455,1776,1235,49,1217.17,1774.43,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/11/2025,OK,Affiliate,Partner Network,Free Trial,C45462,Trial_Reengagement,A,IE,All,Retargeting,Feed,AS008,CR003,3124,261,228,21,892.18,217.17,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/11/2025,OK,Paid Social,LinkedIn Ads,Discount Offer,C51603,Discount_Flash48h,A,IE,All,Retargeting,Feed,AS012,CR006,36993,740,740,73,4147.39,489.26,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/11/2025,OK,Paid Social,Meta Ads,Discount Offer,C47476,Discount_Flash48h,B,UK,Mobile,CRM,Feed,AS010,CR003,149602,3635,3635,303,13256.86,1192.45,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/11/2025,OK,Paid Social,TikTok Ads,Brand Awareness,C21962,Video_TopFunnel_UK,A,UK,Desktop,Retargeting,Stories,AS006,CR003,132503,1911,1911,34,1498.9,1506.6,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2025,OK,Email,ESP,Free Trial,C42163,Trial_CompetitorTerms,A,IE,All,Retargeting,Newsletter,AS006,CR002,3892,505,505,19,660.31,6.21,No,No,Valid,No,0,0,Validation for Date Ranges,,,,,,,,,,,,,,,,,,,,,,,,,,
25/11/2025,OK,Affiliate,Partner Network,Discount Offer,C45161,Discount_Flash48h,B,IE,Desktop,Retargeting,Feed,AS014,CR002,1897,129,105,8,385.01,190.32,No,No,Valid,No,0,0,Start Date,End Date,,,,,,,,,,,,,,,,,,,,,,,,,
21/11/2025,OK,Paid Social,LinkedIn Ads,Discount Offer,C65769,Discount_BundleDeal,A,UK,All,Prospecting,Feed,AS006,CR007,120066,2914,2240,206,,2063.64,No,No,Valid,No,0,0,01/11/2025,30/11/2025,,,,,,,,,,,,,,,,,,,,,,,,,
07/11/2025,OK,Paid Social,Meta Ads,Brand Awareness,C95374,Video_TopFunnel_UK,B,IE,All,CRM,Stories,AS001,CR001,35172,294,294,2,63.07,269.52,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/11/2025,OK,Paid Social,Meta Ads,Brand Awareness,C08144,Awareness_Display_UK,B,UK,Desktop,Prospecting,Feed,AS005,CR009,131554,874,739,5,285.38,1705.47,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/11/2025,OK,Display,DV360,Brand Awareness,C65512,Awareness_Display_UK,B,IE,All,Prospecting,Display_Network,AS012,CR004,41325,164,160,5,191.45,532.31,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/11/2025,OK,Paid Social,Meta Ads,Discount Offer,C77790,Discount_20pct,Variant B,IE,Desktop,Prospecting,Stories,AS014,CR009,24027,388,267,34,£938.68,206.39,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/11/2025,OK,Paid Social,TikTok Ads,Discount Offer,C26685,Discount_Flash48h,B,UK,Mobile,CRM,Feed,AS015,CR002,263561,4385,3288,489,23024.12,2949.58,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/11/2025,OK,Paid Search,Google Ads,Free Trial,C06687,Trial_CompetitorTerms, A ,IE,Desktop,Retargeting,Search,AS015,CR001,7541,128,128,11,392.84,292.71,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/11/2025,OK,Paid Social,TikTok Ads,Free Trial,C32222,FreeTrial_NonBrand,B,UK,Mobile,CRM,Stories,AS014,CR002,96441,1167,1119,51,1970.24,1160.87,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/11/2025,OK,Paid Social,TikTok Ads,Discount Offer,C26685,Discount_Flash48h,A,UK,Desktop,Retargeting,Feed,AS007,CR005,138850,1504,1504,282,"£8,371.27",1329.47,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/11/2025,OK,Paid Social,LinkedIn Ads,Brand Awareness,C93273,Brand_UK_Winter,B,IE,Desktop,Prospecting,Feed,AS007,CR001,20669,274,270,1,37.15,194.74,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/11/2025,OK,Paid Social,Meta Ads,Free Trial,C41057,Trial_Reengagement,B,UK,Mobile,CRM,Stories,AS002,CR001,322499,7579,7305,453,14449.24,2759.9,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/11/2025,OK,Paid Social,TikTok Ads,Brand Awareness,C25480,Awareness_Display_UK,A,UK,Mobile,Prospecting,Feed,AS006,CR003,116787,1505,1192,10,222.59,1383.68,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/11/2025,OK,Paid Social,LinkedIn Ads,Free Trial,C94476,FreeTrial_NonBrand,A,IE,All,CRM,Stories,AS004,CR004,55483,903,577,44,1581.95,711.3,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/11/2025,OK,Email,ESP,Discount Offer,C56339,Discount_BundleDeal,a,UK,Desktop,Prospecting,Newsletter,AS012,CR005,21890,2132,2117,124,6908.83,57.88,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/11/2025,OK,Paid Search,Google Ads,Discount Offer,C94025,Discount_Flash48h,B,UK,All,Prospecting,Search,AS011,CR007,93877,6008,4896,412,17511.2,10015.81,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/11/2025,OK,Paid Social,LinkedIn Ads,Free Trial,C89894,Trial_Reengagement,B,UK,All,Retargeting,Feed,AS002,CR003,83343,1092,1034,101,2760.22,670.45,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/11/2025,OK,Paid Social,Meta Ads,Discount Offer,C77790,Discount_20pct,B,IE,All,CRM,Feed,AS015,CR008,27635,272,220,20,853.06,205.43,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/11/2025,OK,Paid Search,Google Ads,Discount Offer,C06886,Discount_20pct,A,IE,All,Prospecting,Search,AS015,CR004,10876,380,380,20,865.74,697.55,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/11/2025,OK,Paid Social,TikTok Ads,Brand Awareness,C25480,Awareness_Display_UK,A,IE,Mobile,Retargeting,Stories,AS007,CR009,25687,316,253,4,160.84,219.72,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/11/2025,OK,Paid Social,TikTok Ads,Brand Awareness,C25480,Awareness_Display_UK,a,UK,Desktop,CRM,Feed,AS009,CR001,165116,1176,986,11,307.52,1973.13,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/11/2025,OK,Paid Social,Meta Ads,Brand Awareness,C08144,Awareness_Display_UK,Variant B,IE,All,Retargeting,Stories,AS015,CR007,18133,208,198,0,0,121.76,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/11/2025,OK,Email,ESP,Free Trial,C28514,Trial_Reengagement,A,IE,Desktop,Prospecting,Newsletter,AS005,CR008,3393,484,443,13,581.57,11.37,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/11/2025,OK,Affiliate,Partner Network,Discount Offer,C45161,Discount_Flash48h,A,IE,Desktop,Prospecting,Feed,AS005,CR004,1941,49,31,0,£0.00,46.18,No,No,Invalid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/11/2025,OK,Paid Search,Google Ads,Free Trial,C06687,Trial_CompetitorTerms,A,UK,All,Prospecting,Search,AS007,CR001,47771,1586,1478,34,1381.36,2282.17,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/11/2025,OK,Affiliate,Partner Network,Discount Offer,C96105,Discount_20pct,B,UK,Desktop,CRM,Feed,AS008,CR005,13075,581,434,77,5056.43,257.2,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2025,OK,Paid Social,TikTok Ads,Free Trial,C32222,FreeTrial_NonBrand,B,IE,Desktop,CRM,Feed,AS004,CR005,31128,732,649,61,1983.89,327.36,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/11/2025,OK,Paid Search,Google Ads,Free Trial,C06687,Trial_CompetitorTerms,B,IE,All,Retargeting,Search,AS009,CR007,21196,507,422,17,£534.47,370.21,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/11/2025,OK,Paid Social,TikTok Ads,Brand Awareness,C79658,Brand_UK_Winter,A,UK,All,Prospecting,Feed,AS015,CR008,180315,2016,1777,3,101.77,1758.17,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/11/2025,OK,Video,YouTube Ads,Brand Awareness,C25729,Brand_UK_Winter,B,IE,Mobile,Retargeting,YouTube_InStream,AS010,CR001,74299,178,178,0,,513.09,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/11/2025,OK,Paid Social,TikTok Ads,Brand Awareness,C25480,Awareness_Display_UK,a,IE,Mobile,Retargeting,Stories,AS004,CR008,37383,674,544,7,231.02,265.12,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/11/2025,OK,Paid Social,LinkedIn Ads,Brand Awareness,C39095,Awareness_Display_UK,B,UK,All,Retargeting,Feed,AS009,CR009,144618,2964,2964,71,3323.11,1500,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2025,OK,Paid Social,LinkedIn Ads,Brand Awareness,C93273,Brand_UK_Winter,B,UK,Desktop,Prospecting,Feed,AS013,CR001,45330,288,267,4,105.33,429.66,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/11/2025,OK,Paid Social,Meta Ads,Brand Awareness,C62322,Brand_UK_Winter,A,IE,All,Retargeting,Stories,AS005,CR003,14992,183,171,1,16.33,107.72,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/11/2025,OK,Paid Social,Meta Ads,Free Trial,C58061,FreeTrial_NonBrand,B,UK,All,Prospecting,Feed,AS003,CR004,146950,1954,1680,29,1148.8,1112.92,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/11/2025,OK,Affiliate,Partner Network,Discount Offer,C93406,Discount_BundleDeal,A,IE,Desktop,CRM,Stories,AS002,CR003,1975,142,127,12,563.12,80.96,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/11/2025,OK,Email,ESP,Free Trial,C42163,Trial_CompetitorTerms,B,UK,All,Retargeting,Newsletter,AS005,CR003,15090,1311,1238,101,2671.76,47.06,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/11/2025,OK,Video,YouTube Ads,Brand Awareness,C25729,Brand_UK_Winter,A,UK,All,Prospecting,YouTube_InStream,AS010,CR003,348670,1891,1682,18,720.17,1293.88,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/11/2025,OK,Paid Social,LinkedIn Ads,Discount Offer,C65769,Discount_BundleDeal,A,IE,Mobile,CRM,Stories,AS008,CR006,33493,452,452,63,4238.42,342.22,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/11/2025,OK,Paid Social,TikTok Ads,Free Trial,C23721,Trial_Reengagement,A,IE,All,Prospecting,Feed,AS013,CR001,18761,167,137,3,136.86,£252.16,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/11/2025,OK,Email,ESP,Discount Offer,C56339,Discount_BundleDeal,A,UK,All,Retargeting,Newsletter,AS014,CR007,10463,493,454,42,1520.92,16.15,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/11/2025,OK,Paid Social,Meta Ads,Free Trial,C41057,Trial_Reengagement ,B,IE,Desktop,CRM,Feed,AS002,CR003,18669,333,275,19,762.44,£209.66,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/11/2025,OK,Paid Social,TikTok Ads,Brand Awareness,C79658,Brand_UK_Winter,B,IE,Desktop,Retargeting,Stories,AS012,CR004,37894,288,211,1,49.92,,No,No,Valid,No,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/11/2025,OK,Paid Social,LinkedIn Ads,Discount Offer,C53161,Discount_20pct ,A,UK,Desktop,Retargeting,Stories,AS013,CR009,77072,723,571,66,2936.07,1009.03,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/11/2025,OK,Affiliate,Partner Network,Discount Offer,C93406,Discount_BundleDeal,A,IE,Mobile,CRM,Feed,AS015,CR005,1852,136,127,6,229.36,,No,No,Valid,No,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/11/2025,OK,Paid Social,Meta Ads,Brand Awareness,C95374,Video_TopFunnel_UK,B,UK,All,Retargeting,Stories,AS005,CR008,260406,3931,3350,57,2861.79,2188.93,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/11/2025,OK,Paid Search,Google Ads,Free Trial,C06687,Trial_CompetitorTerms,A,UK,Desktop,CRM,Search,AS009,CR005,64825,2578,2522,183,4731.81,4536.12,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/11/2025,OK,Display,DV360,Discount Offer,C88550,Discount_20pct,A,IE,Mobile,Prospecting,Display_Network,AS002,CR003,107166,681,528,44,2294.55,882.38,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/11/2025,OK,Paid Social,Meta Ads,Brand Awareness,C08144,Awareness_Display_UK,A,IE,All,Prospecting,Feed,AS009,CR007,24921,470,386,4,158.54,313.06,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/11/2025,OK,Email,ESP,Free Trial,C42163,Trial_CompetitorTerms,A,UK,All,Retargeting,Newsletter,AS013,CR009,13243,806,797,54,2774.03,15.96,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/11/2025,OK,Paid Social,TikTok Ads,Discount Offer,C26685,Discount_Flash48h,A,IE,All,Prospecting,Stories,AS002,CR009,0,0,0,0,0,32.27,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/11/2025,OK,Paid Social,Meta Ads,Free Trial,C58061,FreeTrial_NonBrand,A,UK,All,Retargeting,Feed,AS004,CR003,77930,467,437,19,570.04,352.32,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/11/2025,OK,Paid Social,LinkedIn Ads,Discount Offer,C65769,Discount_BundleDeal,B,IE,All,Prospecting,Stories,AS009,CR008,25904,530,473,47,2251.7,428.79,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/11/2025,OK,Paid Social,TikTok Ads,Free Trial,C57218,Trial_CompetitorTerms,B,UK,Mobile,Retargeting,Feed,AS001,CR006,125987,2023,1662,66,2731.9,1370.23,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/11/2025,OK,Paid Social,Meta Ads,Free Trial,C41057,Trial_Reengagement,A,IE,All,Prospecting,Feed,AS004,CR004,31265,238,196,14,512.59,270.01,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/11/2025,OK,Paid Social,TikTok Ads,Discount Offer,C28582,Discount_20pct,B,UK,All,CRM,Stories,AS009,CR002,122089,2340,1874,322,,1175.42,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/11/2025,OK,Email,ESP,Discount Offer,C56339,Discount_BundleDeal,A,IE,Mobile,Retargeting,Newsletter,AS009,CR007,2127,120,106,10,389.15,8.03,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/11/2025,OK,Paid Social,LinkedIn Ads,Discount Offer,C65769,Discount_BundleDeal,B,UK,Mobile,Retargeting,Stories,AS005,CR004,287353,3120,2164,261,17255.35,2234.17,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/11/2025,OK,Email,ESP,Discount Offer,C56339,Discount_BundleDeal,B,IE,Mobile,Prospecting,Newsletter,AS008,CR005,3174,240,239,22,1425.85,£7.86,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/11/2025,OK,Paid Social,TikTok Ads,Discount Offer,C28582,Discount_20pct,A,IE,Desktop,CRM,Feed,AS014,CR008,13159,85,55,2,65.71,126.22,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/11/2025,OK,Display,,Free Trial,C51468,Trial-CompetitorTerms,B,IE,Mobile,Retargeting,Display_Network,AS008,CR005,34774,90,87,11,621.55,290.4,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/11/2025,OK,Paid Social,Meta Ads,Brand Awareness,C08144,Awareness_Display_UK,A,IE,Desktop,Prospecting,Stories,AS006,CR004,16630,139,139,0,0,203.56,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/11/2025,OK,Paid Social,TikTok Ads,Discount Offer,C28582,Discount_20pct,B,IE,Mobile,Retargeting,Stories,AS008,CR007,52581,1052,1052,125,5375.9,512.03,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/11/2025,OK,Paid Social,Meta Ads,Free Trial,C41057,Trial_Reengagement,A,UK,Desktop,Retargeting,Feed,AS002,CR006,107066,2128,1547,110,6775.39,1654.46,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/11/2025,OK,Paid Social,Meta Ads,Brand Awareness,C95374,Video_TopFunnel_UK,A,IE,Mobile,Prospecting,Feed,AS012,CR004,34288,298,285,2,£61.36,456.75,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/11/2025,OK,Paid Social,Meta Ads,Discount Offer,C47476,Discount_Flash48h,B,UK,All,CRM,Feed,AS006,CR002,123859,1207,976,134,4472.64,972.52,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2025,OK,Paid Social,Meta Ads,Discount Offer,C47476,Discount_Flash48h,A,IE,All,CRM,Feed,AS002,CR002,38992,479,407,48,2027.4,419.68,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/11/2025,OK,Video,,Brand Awareness,C25729,Brand_UK_Winter,B,UK,All,Prospecting,YouTube_InStream,AS010,CR002,363098,2471,2172,15,467.03,"£3,099.09",No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/11/2025,OK,Paid Social,LinkedIn Ads,Brand Awareness,C39095,Awareness_Display_UK,B,IE,All,Prospecting,Feed,AS005,CR001,27636,257,224,0,0,169.79,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/11/2025,OK,Paid Social,Meta Ads,Discount Offer,C54896,Discount_BundleDeal,A,IE,All,CRM,Stories,AS005,CR003,25432,453,431,53,2039.14,147.32,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/11/2025,OK,Affiliate,Partner Network,Discount Offer,C93406,Discount_BundleDeal,B,UK,Mobile,CRM,Stories,AS002,CR003,27152,1469,1297,92,2829.55,1583.66,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
